question_by,question,answer_by,answer,ticker_cd,Org Name
Daniel —  — Analyst,"Thank you. Regarding the balance sheet, our fixed assets increased from INR9 crore to INR12 crore. So have you purchased any assets? If you could throw some light on this.",Shrikant Nibandhe — Director,"Yes, we have purchased few trailers for our MT container transportation as well as we started now full load, full — bonded cargo transportation between our office, Ahmedabad and Bombay. So we have purchased four trailers into that. Plus we have purchased a few containers, empty containers from the one empty container depot. So we can also, this is the asset what we have. So that’s how the whole investment has been done in this area.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay, sir. And then what is our current capital cycle for financial year 2023?",Makarand Pradhan — Managing Director,You mean DSO? Hello?,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Our current capital, sir. Yes, sir.",Makarand Pradhan — Managing Director,DSO is now dropped to the 42 days.,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. In FY ’22, tax rate which is 32%, it has increased to 47% in FY ’23. So, is there any reason in the increase of tax rate?",Makarand Pradhan — Managing Director,I will check on that. Okay. Hello. Mr. Nitin is there?,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. In FY ’22, tax rate which is 32%, it has increased to 47% in FY ’23. So, is there any reason in the increase of tax rate?","Nitin Phadke — Vice President, Finance","Sir, can I give the answer?",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. In FY ’22, tax rate which is 32%, it has increased to 47% in FY ’23. So, is there any reason in the increase of tax rate?",Shrikant Nibandhe — Director,"Yes, Nitin.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. In FY ’22, tax rate which is 32%, it has increased to 47% in FY ’23. So, is there any reason in the increase of tax rate?","Nitin Phadke — Vice President, Finance","This is Nitin Phadke. The tax rate has not changed. But because of the loss which is there from OneWorld, which has gone up — the profit figure has been distorted, and that’s why you feel that the rate had changed. If you see standalone the rate is 26%, which is as per the income tax normal rate.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. Also talking about interest cost, it increased by around 50-55% on year on year basis. So what has led to this increase in the interest cost?","Nitin Phadke — Vice President, Finance","Sir, interest percentage which was there in the last financial year, it was 8.55%. But in the current — in the financial year ’22-’23 as you are aware that RBI has increased the rate every time. It is more than 11%. That has basically affected the interest cost.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,Okay. And there was a shortfall in EBITDA for Q4 FY ’23 on a Y-o-Y basis. So is there a reason behind this in the EBITDA?,"Nitin Phadke — Vice President, Finance","The reason behind this is basically the drop down in the freight rates, the turnover has also been reduced and the margin has also reduced. That’s the reason the profit has reduced, obviously it will affect the EBITDA.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,Okay. And there was a shortfall in EBITDA for Q4 FY ’23 on a Y-o-Y basis. So is there a reason behind this in the EBITDA?,Makarand Pradhan — Managing Director,Can I — I just want to give one clarification here.,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Yes, sir.",Makarand Pradhan — Managing Director,"The freight rates have gone down by 80%, okay? Now let’s assume a freight for Europe, what Mr. Shrikant mentioned earlier. It was $8,000. Today it is $800. So obviously on $8,000 we could have a margin of maybe $500, maybe $400. Whereas when the freight levels are so down, we have — our margins get reduced to a certain percentage, maybe 5%, maybe 7%. So that is the effect. But what we have done is it is not seen so much on the figures is because our volumes have gone up quite a lot. And secondly, we have gone very aggressive into the CIS region and Africa. So still on certain sectors we have been able to maintain our profitability to a great extent. And that’s the reason it is not seen that there is a, though there is a drop of 80% of the freight levels, our profits or our overall turnover hasn’t dropped so much.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay, noted. Last question from me, sir, about the revenue split in our vertical business. So if you could share the revenue split for FY ’23?",Makarand Pradhan — Managing Director,Shrikant will…,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay, noted. Last question from me, sir, about the revenue split in our vertical business. So if you could share the revenue split for FY ’23?",Shrikant Nibandhe — Director,Revenue split?,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Yes, sir.",Shrikant Nibandhe — Director,This Total Transport has achieved the top line of INR522 crores and INR68 crores [Phonetic] is of OneWorld Logistics Private Limited of last mile delivery.,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. And what exactly are the growth drivers, which is, you know, contributing to the revenue, if you could highlight on that?",Shrikant Nibandhe — Director,Of Total Transport you mean to say?,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Yes, sir.",Shrikant Nibandhe — Director,"This growth highlight is the same that is a month of December and Jan we had a big business for the Russia and some to CIS destination and it was a quite big number of containers we moved there and that was with the different margins what we had. So this is one of the biggest highlight, I mean biggest thing happen, good thing happen to us. Secondly, if you see the rate levels started dropping from the month of November or December onwards. So we almost have three quarters of sizable rate levels are in the market. So we started dropping from the December onwards and now it is almost coming to the bottom. So the first, I could say, almost eight to nine months, we had a good margin due to different rate levels, which was offered by the shipping lines. And same being the selling rate was quite good in those times, first eight to nine months. So these are the basic good contributors for our pipeline. Though our volume rather slowed down or value of the transaction has slowed down, but we could manage to see a close of our previous year’s top line, which was INR528 crores. And we actually did this year INR522 crores. So there was a marginal difference. That’s where whole our focus and activity wise push what we did into the previous figures.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay. Okay, sir. Thank you for your answer, sir. And you mentioned about the competitions or challenges that business might be facing. So if you could explain me how are you addressing those challenges in the market to keep up again?",Makarand Pradhan — Managing Director,"Okay. See the only way we have to do is to step up our sales effort. We have — we are in the process. We have hired nearly five sales, additional sales and customer services and which has contributed to the increase in volumes and we are in the process of hiring some more. In the initial stages, the cost will be a little up, but for sure in the next six months we will have recovered those costs and gone ahead of what we have planned.",TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay, okay. Okay, sir. Thank you so much for all the insights and I wish you the very best.",Makarand Pradhan — Managing Director,Thank you.,TOTAL,Total Transport Systems Limited 
Daniel —  — Analyst,"Okay, okay. Okay, sir. Thank you so much for all the insights and I wish you the very best.",Shrikant Nibandhe — Director,Thank you very much.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Yes, good afternoon, sir. Good afternoon. Sir, you mentioned about the freight charges having, you know, gone up because of which we’ve had a dip in revenue and profit. So what can be expect, coming couple of quarters are freight charges expected to continue to increase or remain flat or any views?",Makarand Pradhan — Managing Director,"First, you have got it incorrect, because freight charges haven’t gone up. The freight charges have gone down.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Right, right. Sorry, I meant the other way round, because of which we have been —",Makarand Pradhan — Managing Director,"Because our turnover comprises of the freight. So once the freight charges drop, our turnover also goes down. Now having said that, we don’t expect any dip further because it is already bottomed up. For the next two quarters, we expect that it will be more or less on the same level, maybe 5% here and there from the freight level. And from January, it is expected that China will be in full swing of production. The economies would revive a bit in Europe and U.S., and then we will see some upward revision in the freight levels because these freight levels are not congenial to operate vessels for the shipping lines, you know. So it is like bottomed up. These are my views, can go down by 5% here and there but not more than that. So now it is a matter of how we market, how we sell and how we get more business.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Okay, and maybe January onwards some improvement can be…?",Makarand Pradhan — Managing Director,That is what is expected.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Right, right. Okay. And sir, so on an average what is the sort of average number of shipments that we are doing per month, roughly?",Makarand Pradhan — Managing Director,"See, I would not talk about average number of shipment, but I will talk about average number of containers that we took and those are about 3,000 containers a month.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"3,000 a month. All right, sir. And amongst LCL and FCL, which segment gets us higher margins?",Makarand Pradhan — Managing Director,LCL.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"LCL. And so what, do we have a rough breakup of LCL and FCL?",Makarand Pradhan — Managing Director,Our LCL is about 65% to 70%.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,Okay. And that will remain the same break up?,Makarand Pradhan — Managing Director,"More or less — no, I wouldn’t say that the breakup will remain the same because we see a growth in FCLs in the coming days. LCL globally constitutes just 1.25% of the global business. So whatever it goes up, it is a very miniscule percentage of growth. We can’t expect a huge growth in LCL, but if we have to do well, we have to increase our FCL to those levels and maintain profitably and the supply also. And that is what we are working on.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"If FCL contribution to revenue increases, then overall margin would slightly get affected because as you said, FCL would be a relatively lower margin than LCL?",Makarand Pradhan — Managing Director,"Yes, of course, but at the same time, when there is not much of increase in the LCL business, we cannot be just sitting and looking at better margins, right? We have to increase our turnover. We have to increase our profit. In percentile basis, it may be less, but in actual terms, it will be there.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Right, right. Fair enough, sir. And sir, this quarter or overall this year how much business have we done from Abhilaya?",Makarand Pradhan — Managing Director,"Oh, Srikant can you please?",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Right, right. Fair enough, sir. And sir, this quarter or overall this year how much business have we done from Abhilaya?",Shrikant Nibandhe — Director,"This month of April we have achieved 24.50 lakhs shipments that are now of INR6.47 crores and May will be closing a little more, 27 lakhs plus shipment, which should be giving us close to INR6.80 crores turnover, probably more, little more.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,Per month?,Shrikant Nibandhe — Director,"Per month, yes. Okay, and that would be sustainable over the next few quarters?",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Yes, definitely.",Makarand Pradhan — Managing Director,"Not only sustainable, it will increase.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"It will increase, okay. And sir, just a couple of other questions. Is there any plan to increase the number of ports under our belt this year?",Makarand Pradhan — Managing Director,You are talking about Total Transport now?,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Yes, yes.",Shrikant Nibandhe — Director,"See, at this point in time, we are not looking at ports. We are looking at cargo generating centers. You know, like from the cargo units, we want to put up our sales offices. This year, the whole target is to push in more sales. So that is what we are looking at. We, as far as operations are concerned, we are able to handle cargoes Pan-India. We don’t need to add force. We need to add cargoes.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Cargoes, understood sir. And just a last question, do we have any plans to increase our stake in RN Freight from the current time?",Makarand Pradhan — Managing Director,Not at this point of time.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"And sir, just touching upon Abhilaya once again, as we had sort of launched 50 odd EV scooters under Abhilaya, but they were — as I understand — exclusively for Amazon. So is there anything in the pipeline for some other clients also for last mile delivery?",Makarand Pradhan — Managing Director,We will be doing it for Flipkart but that will be after second quarter.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"After second quarter, all right.",Makarand Pradhan — Managing Director,"We are — really one of the advantages we are getting with this is [Technical Issues] once we are through with our study, then we will take a call.",TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Okay. All right. Understood, sir. Okay. Thank you. Thank you so much and all the best.",Makarand Pradhan — Managing Director,Thank you. Thank you.,TOTAL,Total Transport Systems Limited 
Rohan Mehta —  — Analyst,"Okay. All right. Understood, sir. Okay. Thank you. Thank you so much and all the best.",Shrikant Nibandhe — Director,"I wish to express my gratitude to the whole TTSL team for their continuous efforts and devotion, all of which help us as a company to advance despite changing market conditions. Additionally, I want to thank you all for taking a part in this conference call. If you have any additional questions, please do get in touch with our AdFactors Investors Relations team. We will be glad to reply with all your questions. Thank you very much and have a lovely day ahead.",TOTAL,Total Transport Systems Limited 
Saket Kapoor — Kapoor & Co. — Analyst,[Foreign Speech].,Prem Khandelwal — Chief Financial Officer & Company Secretary,[Foreign Speech],IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Thank you, sir for the opportunity and a good set of number, sir, as as per our last conversation it was conveyed to the investing community that we have hit the peak in terms of the raw material prices and both the benefit of lower raw-material and better realizations will accrue to the number and that is what we have seen for this quarter. Sir, and just taking from gist of what our MD told today at CNBC, so couple of points from where he left there. Firstly, sir, if you could, there was some understanding on the capex part that spoke about capex in two phases. First, the one lakh the one which would be done by 2025 and then for another one lakh. So if you could elaborate what are what is our capex plan for the coming four to five years, sir?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"No, Saket, I think there is some confusion there because MD spoke about one lakh ton of ferro chrome capacity will be coming up online in second quarter of calendar year FY 2025, again he spoke about the an year one lakh ton. So I think there is some confusion there. So as of now what we’re planning is one lakh ton of ferro chrome capacity we then investment of INR550 crores incoming another.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Correct sir. And last year sir we capitalized around INR200 crores in the capital work-in progress, so what would we attribute that INR200 crores, sir?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"N, that is too specific a question, we need to check that one, Saket, send us a mail, we’ll answer that separately.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, okay sir. Sir can you again give us some color on the major raw material especially the coal and the coke prices and how have they paired the met coke I think especially from the from Colombia is the one which we are using because of some specification. So how are the price trend and we also guided for EBITDA margins improving from 22% to 25% for H1, so (22:20) elaborate?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"See, Q4 as far as Q4 is concerned, coal cost, the variable power cost has come down from INR4.77 to INR4.26. And although the coke cost has not come down in Q4 because we are using the old inventory high-cost inventory. But the coke cost has come down. Deepak, would you like to expand on the coke front?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, okay sir. Sir can you again give us some color on the major raw material especially the coal and the coke prices and how have they paired the met coke I think especially from the from Colombia is the one which we are using because of some specification. So how are the price trend and we also guided for EBITDA margins improving from 22% to 25% for H1, so (22:20) elaborate?",Deepak Mohanty — Head of Ferro Alloys Business Unit,"Yeah, actually we have coke in the INR4.50 level earlier, but that has come down by another $70, $80 at the moment, but that coal will be reset in the Q2 while it will be utilized. So it is coming down with near — it was above 500 which has come down slowly and ultimately we have to — in the Q2, we are seeing a slightly much lower price for the coke particularly for that reason. So impact below $400 we have now booked which we’ll visit in the month of July.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, okay sir. Sir can you again give us some color on the major raw material especially the coal and the coke prices and how have they paired the met coke I think especially from the from Colombia is the one which we are using because of some specification. So how are the price trend and we also guided for EBITDA margins improving from 22% to 25% for H1, so (22:20) elaborate?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"So we had bought at the peak of $700 in last year and from there it has come down to around $380 now, so as you intimated earlier also the costs are coming down gradually.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,So the benefit of lower coal cost would be accrued from second quarter?,Prem Khandelwal — Chief Financial Officer & Company Secretary,In first quarter and second quarter also.,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"The first and the second quarter. Sir, if we look at the lower volume part, there also the MD mentioned that for the sales for the quarter have been 57,000 and there were some inventory at the vendor managed inventory yard. So, if you could elaborate, what would be amount of the stock that would percolate to Q1, sir?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"So, 7,000 tons of ferro chrome were shipped on 30th of March, so billing would be done this quarter, current quarter.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"So, we guess 7,000 ton realization is quarter number two?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Yes, yes, yes, yes.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay. And sir, if you could also throw some light on the inventory part, sir, that is again the inventory higher because of this one is sir we have inventory at INR337 crore…",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Because that 7,000 tons see again appearing in the inventory.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Correct sir. And lastly about the phospho part sir, earlier because of some natural calamity last time there were some port major for phospho, so are the deliverables now evened out and they have close to that 7,000 ton per month?",Prem Khandelwal — Chief Financial Officer & Company Secretary,Deepak?,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Correct sir. And lastly about the phospho part sir, earlier because of some natural calamity last time there were some port major for phospho, so are the deliverables now evened out and they have close to that 7,000 ton per month?",Deepak Mohanty — Head of Ferro Alloys Business Unit,"Yeah, as you said, the impact it was soft in the month of September phospho major that discussed and from month of January that started kicking at the moment for this quarter also it stood at 21,000 level and going on also it will be in that range as per our content.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And sir, could you throw some more light on the realization for ferro-chrome currently. And one more request sir, as we see in many company website, there is a provision for the latest update on the international prices of the commodity that the company, our is a single product commodity and for all investors it is not difficult to track the prices, so if a link could be created for us so that on a monthly basis or on a quarterly that is updated, so we can get an idea of how the current ferro-chrome prices are trending, if it is available with key men, but everyone cannot source the same on a real time basis, so it is a request if that could be done for this…",Prem Khandelwal — Chief Financial Officer & Company Secretary,"That will create more confusion in the investor community because there are different kind of prices for different kind of grade. What we are producing, what the price we are quoting you don’t know, so that might get more confusion.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, sir. So then what are the current realization and how has been the contract done if you could give some color on the same?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Deepak, would you help us on that?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, sir. So then what are the current realization and how has been the contract done if you could give some color on the same?",Deepak Mohanty — Head of Ferro Alloys Business Unit,"It is similarly around one lakh 20 around, it will be for this quarter which is slightly higher than the last quarter [Indecipherable] higher than the last quarter for that reason, last quarter in Q4 it was 116 or 117 around. And this quarter, it will be around 119, 120, one lakh 20.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,120 will be the realization for Q1?,Deepak Mohanty — Head of Ferro Alloys Business Unit,"Right metric, yeah.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Yeah, please come again, hello?",Deepak Mohanty — Head of Ferro Alloys Business Unit,"[Speech Overlap] ferro chrome price, ferro chrome.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Correct sir. And sir, you did spoke about this renewable tie-up also going ahead, I think so we have currently 5 megawatt from the solar, so going ahead sir are we looking for this open access source forum that had been availed by the government going ahead or what kind of capex do we envisage going ahead to have renewable tie-up?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Bijayan, I would request you to answer that one?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Correct sir. And sir, you did spoke about this renewable tie-up also going ahead, I think so we have currently 5 megawatt from the solar, so going ahead sir are we looking for this open access source forum that had been availed by the government going ahead or what kind of capex do we envisage going ahead to have renewable tie-up?",Bijayananda Mohapatra — Chief Operating Officer,"For our — that upcoming project, we have to get power through renewable energy that will be hybrid system, that means solar plus wind. So we are going for 50 MW capacity and that will be captive on our token assets, it will be captive, so we taking care on that one, so we’ll get benefits, we are being a captive either.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And what would be the investment there, sir?",Bijayananda Mohapatra — Chief Operating Officer,"Investment, captive share, it will be around in the tune of INR100 crores.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And sir for the coal prices, what have been our coal cost, I think 2700 was guided towards Q4? So what is the current coal cost and what was for Q4?",Bijayananda Mohapatra — Chief Operating Officer,"Both sir, what we source from the rejection coal, the average coal cost, sir?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And sir for the coal prices, what have been our coal cost, I think 2700 was guided towards Q4? So what is the current coal cost and what was for Q4?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Okay, okay. Binoy, would you like to?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And sir for the coal prices, what have been our coal cost, I think 2700 was guided towards Q4? So what is the current coal cost and what was for Q4?",Binoy Agarwalla — Head of Power Business Unit,"Yeah, yeah, I’m answering. Actually in Q3, the weighted average MCL plus watery reject was to around to INR2800, but in Q4 weighted average of watery reject in MCL has come down to INR2600, that is difference of INR200.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,And what would be that for Q1 sir?,Binoy Agarwalla — Head of Power Business Unit,Q1 will be remaining as now in Q4.,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay. Coal India did announce some increase in coal prices, will that affect, how…",Binoy Agarwalla — Head of Power Business Unit,"Coal India has increased, I mean given the notification from G2 to G10, but we are using G12, G13 coal, so there will be no impact on G12 and G13.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"And lastly on the OTS part, Prem sab, it was — the settlement has happened at INR52 crores and we were emphasizing it at INR71 crores. So that understanding is correct sir for post…",Prem Khandelwal — Chief Financial Officer & Company Secretary,"No, INR71 crore amount we have to pay that we have paid, so that was the amount to be paid, not the settlement amount. But we have booked INR52 crore I think so, INR52 crore and quality provided for INR26 crore in the books already, so the balance I didn’t provide it now.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay. And now the issue is put to rest, sir?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Sorry, amount to…",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Now the issue is put to rest, now we don’t have any other contingency right now?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"No, no, I think the final settlement we have to enter into with them.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, sir. Other than this sir, any other contingencies line-item we have on that is pending to be resolved in the near-future?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"There are other items also, there are other items also, so we are kind to resolve them.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,"Okay, sir. Sir, I’ll join the queue, sir. And thank you and all the best to the team sir, going ahead, sir, for the AGM also I think the notice is not yet, the dates have not been provided [Speech Overlap].",Prem Khandelwal — Chief Financial Officer & Company Secretary,Within time due course.,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Saket Kapoor — Kapoor & Co. — Analyst,Okay. Thank you sir. I’ll join the queue.,Prem Khandelwal — Chief Financial Officer & Company Secretary,Thank you.,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"Sir, just wanted to understand with cash flow coming in and with the kind of cash flow we’ll get in H1 and H2, we’ll have decent amount of cash on books by the end-of-the year, with market cap at around INR1,500 crores and perhaps INR260 crores already in the books and maybe some more coming through. Would you think buyback makes sense for enhancing shareholder value at the current prices that the shares are trading at?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"See, Manish, we have lined-up lot of pencil of source, so buyback at this point of time is not sensible in our opinion. So although we are paying good dividends, so by way of dividends we’ll be rewarding shareholders, but buyback I don’t think is feasible at the moment, given the expansion plans we have lined-up.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"Sir, but expansion would be how much in terms of value because you had announced INR500 crore?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Around INR2000 crores we are investing in over a period of seven years, so we need to have that cash-flow also in our, we are planning it through internal accruals only.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,So INR2000 crores of total capex over next seven years is what you see?,Prem Khandelwal — Chief Financial Officer & Company Secretary,"Yes, yes.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"Okay. Fine. Thank you so much. Do you think that will increase dividends, perhaps if not buyback?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Yeah, wherever possible, we are trying to give the maximum dividend.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"Okay, one final question in terms of cost of production, what you are seeing now versus Q4?",Prem Khandelwal — Chief Financial Officer & Company Secretary,"That will be difficult to answer at the moment, because it depends on what kind of material we are using when. So I won’t be able to give the exact number for that, but, yeah, it should be lower than Q4.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"So, sale price higher and cost of production lower so that means [Speech Overlap].",Prem Khandelwal — Chief Financial Officer & Company Secretary,So Q1 is better than Q4 we are expecting.,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"That means, much better that in fact.",Prem Khandelwal — Chief Financial Officer & Company Secretary,"That is very difficult to pinpoint at the moment too early because it all depends on where the spot prices of ferro chrome and what kind of cost we are going to have. But yes, overall we are expecting better quarter than Q4.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Unidentified Participant —  — Analyst,"Okay, thank you sir.",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Right, thank you.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Vaibhav Badjatya — Honesty And Integrity Investment — Analyst,"Hi, sir, thanks for providing the opportunity. Sir just few questions from a longer-term perspective. So if you can help us understand how ferro chrome convention stainless steel series 200, 300, 400 differs, that will just help us understand how the demand can fluctuate going forward, so if you can just highlight it would be…",Prem Khandelwal — Chief Financial Officer & Company Secretary,"Deepak, would you answer that one?",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Vaibhav Badjatya — Honesty And Integrity Investment — Analyst,"Hi, sir, thanks for providing the opportunity. Sir just few questions from a longer-term perspective. So if you can help us understand how ferro chrome convention stainless steel series 200, 300, 400 differs, that will just help us understand how the demand can fluctuate going forward, so if you can just highlight it would be…",Deepak Mohanty — Head of Ferro Alloys Business Unit,"So, let’s say, nobody can sell, but let me tell you the 2022 calendar year, stainless steel output was at 55.255 million tons which is which was lower by 3 million tons from the previous year that is 2021, but all credit itself are there that in the current year 2023, it would be reaching a new height of 60 million ton. So once the stainless steel is picking-up, totally ferro chrome has to go up, ferro chrome demand and as such no stainless steel ferro chrome is used mostly in stainless steel and the [Indecipherable] particularly in India is still in the range of 2 to 2.5, while the international standard or pretty developed countries it is there around 15 kgs and China has this almost around 10 kgs. So even if and with the government interventions and AatmaNirbhar all those things without a kind of project since Government of India has undertaken moment towards that. So naturally if it gets doubled also, ferro chrome will be in demand. So that’s why I told…",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
Vaibhav Badjatya — Honesty And Integrity Investment — Analyst,"Yeah, I understand that, sir, but what I was trying to understand is that how the ferro chrome consumption differs between different grades of steel, which is between 200, 300 and 400 [Speech Overlap] kind of thing that would be great.",Deepak Mohanty — Head of Ferro Alloys Business Unit,"So basically ferro chrome congestion varies between 12% to 30% and lowest 10% to 12% in 200 cities and 400 cities this above 25 plus, so that’s highest category and is well versed and depending upon what grade of ferro chrome you are using because internationally India produces around 50%, but South Africa produces around 40% to 50% and certainly like Tajikistan they produce more than 60%, so it depends that percentage what I had told, so I told in the context of mostly 60%.",IMFA,INDIAN METALS & FERRO ALLOYS LIMITED 
